4. Accessibility Checklist,,,,
Context: Use this checklist during testing. Mark each item Pass / Fail / N/A and capture evidence for any failure.,,,,
,,,,
Category,Requirement / Criterion,Expected behavior,Pass / Fail criteria,Reference
Physical controls,Controls can be identified without vision,"Buttons/knobs are distinguishable by shape, spacing, tactile marking, text, speech, or equivalent app support.",Pass if a user can locate and distinguish core controls without relying only on sight.,"EN 301 549 5, 8"
Physical controls,Controls operate without excessive force or fine motor precision,"Core controls do not require tight grasping, pinching, twisting, sustained pressure, or simultaneous actions without an alternative.","Fail if important actions require excessive force, precision, or timed multi-button input.","EN 301 549 5, 8"
Physical controls,Controls can be explored safely,"Touch exploration does not trigger unwanted activation, or an equivalent accessible method exists.",Fail if tactile exploration activates controls or causes accidental changes.,"EN 301 549 5, 8"
Visual display,Selected cycle and settings are perceivable,"Cycle, temperature, spin, lock status, and remaining time are readable and/or available non-visually.",Fail if required settings or status are visual-only.,"EN 301 549 5, 8, 11; WCAG 2.2 as applicable"
Visual display,Labels and states are readable,"Text, icons, and active states have sufficient contrast and are visible from expected standing/seated positions.","Fail if text/states are unreadable because of contrast, glare, size, or angle.","EN 301 549 8, 11; WCAG 2.2 1.4.3, 1.4.11"
Visual display,Color is not the only indicator,"Selection, warnings, and errors use text, icons, patterns, position, speech, or other redundant cues.",Fail if color alone communicates state or error information.,"WCAG 2.2 1.4.1; EN 301 549 8, 11"
Audio feedback,Essential audio has an alternative,"Completion tones, warning beeps, and spoken output have visual, tactile, or app-based equivalents.",Fail if essential information is sound-only.,"EN 301 549 5, 8"
Audio feedback,Audio is controllable when used for access,Volume can be adjusted and users can review repeated speech or alerts when provided.,Fail if speech/alerts cannot be controlled or reviewed.,EN 301 549 5
Tactile / non-visual,A non-visual path exists for core use,"A user can power on, choose a common cycle, adjust key settings, start, monitor, and identify completion without relying only on vision.",Fail if core operation depends on visual-only cues and no equivalent accessible path exists.,"EN 301 549 5, 8, 11"
Tactile / non-visual,Touchscreen or touch panel has an accessible alternative,"If a touchscreen is used, users can complete core tasks with speech output, accessible app equivalence, or a non-touch alternative.",Fail if touchscreen-only operation blocks independent use.,"EN 301 549 5, 8, 11; WCAG 2.2 2.5.x, 4.1.2"
Error handling,Errors are identified clearly,"Errors are provided in plain language or understandable equivalents, not only codes, lights, colors, or beeps.",Fail if the user cannot identify the problem.,"EN 301 549 5, 11; WCAG 2.2 3.3.1"
Error handling,Recovery steps are available,The product explains how to recover from common errors and lets users review the message again if needed.,"Fail if recovery is missing, ambiguous, or not accessible.","EN 301 549 5, 11; WCAG 2.2 3.3.3, 4.1.3"
Instructions & labeling,Consumable compartments are identifiable,"Detergent/softener/bleach areas use clear text, tactile differentiation, shape, or an accessible equivalent.","Fail if compartments rely only on icons, color, or position.","EN 301 549 5, 8, 10, 12"
Instructions & labeling,Instructions avoid sensory-only wording,Instructions do not rely only on phrases such as “press the red light” or “use the left icon.”,"Fail if users need color, shape, or location alone to follow instructions.","WCAG 2.2 1.3.3; EN 301 549 10, 11, 12"
Instructions & labeling,Documentation is accessible,Required manuals/help/error references are available in accessible formats and explain accessibility-relevant features.,Fail if required documentation is inaccessible or missing key operational guidance.,"EN 301 549 10, 12"
Maintenance,Maintenance alerts are accessible,"Cleaning/filter/drum-care prompts are presented in accessible, understandable formats.","Fail if reminders are visual-only, sound-only, or unexplained.","EN 301 549 5, 8, 10, 11, 12"
Maintenance,Maintenance access is operable,Routine consumer maintenance areas can be identified and opened without excessive force or unsafe posture.,Fail if expected maintenance tasks are not independently operable.,"EN 301 549 5, 8"
Mobile app (if in scope),Controls expose accessible names and states,"Screen readers identify labels, roles, values, and selected states correctly.",Fail if controls are unlabeled or status is not exposed.,EN 301 549 11; WCAG 2.2 4.1.2
Mobile app (if in scope),Status and errors are announced,"Pairing, start/pause, errors, completion, and remaining time are announced or reviewable accessibly.",Fail if updates are visual-only.,EN 301 549 11; WCAG 2.2 4.1.3
Mobile app (if in scope),Large text and contrast are supported,Text scales without clipping/loss and UI components maintain usable contrast.,"Fail if large text causes truncation, overlap, or loss of controls.","EN 301 549 11; WCAG 2.2 1.4.4, 1.4.10, 1.4.11"
Additional technology,Required technology provides equivalent access,"If an app/voice assistant is required for consumers with disabilities, it provides equivalent control, status, and error access.","Fail if required technology is incomplete, inaccessible, or adds unequal burden.","SAR Table 2; EN 301 549 5, 9, 11, 12"
Physical access / reach,Core controls are within accessible reach,"Controls needed for core operation, such as power, cycle selection, settings, start/pause, cancel, and lock controls, can be reached from expected standing and seated positions in the intended installation configuration.","Pass if users can reach and operate core controls without unsafe posture, excessive stretching, obstruction, or repositioning the appliance. Fail if core controls are too high, too low, too deep, blocked, or only reachable with unsafe or excessive effort.","EN 301 549 5, 8"
Physical access / reach,Displays and status indicators are viewable from expected positions,"Displays, selected states, alerts, and progress indicators can be viewed from expected standing and seated positions without glare, obstruction, or extreme viewing angle.","Pass if users can perceive important visual information from expected positions. Fail if users must stand, bend, lean, or move into an unsafe position to see required information.","EN 301 549 8, 11; WCAG 2.2 as applicable"
Physical access / reach,Loading and routine-use areas are reachable,"The door/lid, drum opening, detergent drawer, auto-dose tank, and other routine-use areas can be reached in the intended installation configuration.","Pass if users can complete routine tasks such as loading laundry and adding detergent without unsafe posture, excessive reach, or obstruction. Fail if required areas are not reachable or require unsafe bending, stretching, or lifting.","EN 301 549 5, 8"
Physical access / reach,Maintenance areas are reachable when maintenance is consumer-performed,"Consumer maintenance areas, such as filter access, drain access, detergent drawer removal, or drum-clean controls, can be reached and approached safely.","Pass if expected maintenance tasks can be reached and attempted from a safe position. Fail if maintenance areas are inaccessible due to height, depth, obstruction, floor-level placement without an alternative, or unsafe posture.","EN 301 549 5, 8, 12"
,,,,
Notes,,,,
- 5. Scoring / Evaluation Criteria,,,,
"- Record each checklist item as Pass, Fail, or N/A. Use N/A only when the item does not apply to the product or scoped test path.",,,,
"- Recommended impact levels for prioritization: Critical (blocks core independent use or safe recovery), Major (serious barrier with workaround or partial alternative), Moderate (meaningful barrier affecting efficiency or understanding), Minor (secondary issue that reduces clarity/consistency).",,,,
